number,value,state,params_alpha,duration
0,0.8674125785707183,COMPLETE,0.0745934328572655,0 days 00:00:00.385128
1,0.8561405637772628,COMPLETE,56.69849511478853,0 days 00:00:00.348512
2,0.8675222602074723,COMPLETE,4.5705630998014515,0 days 00:00:00.337408
3,0.8674945996363125,COMPLETE,0.9846738873614566,0 days 00:00:00.342820
4,0.8674047736229316,COMPLETE,0.006026889128682512,0 days 00:00:00.336506
5,0.8674047734294803,COMPLETE,0.0060252157362038605,0 days 00:00:00.341602
6,0.8674043020850289,COMPLETE,0.0019517224641449498,0 days 00:00:00.348488
7,0.8651010870139878,COMPLETE,21.42302175774105,0 days 00:00:00.343075
8,0.8674965454680409,COMPLETE,1.0129197956845732,0 days 00:00:00.357679
9,0.8619948311690498,PRUNED,3.4702669886504163,0 days 00:00:00.107315
10,0.8674119878184265,COMPLETE,0.06932824978383131,0 days 00:00:00.350543
11,0.8674879617136252,COMPLETE,0.891812647093327,0 days 00:00:00.337974
12,0.8616041122999979,PRUNED,8.054490190872883,0 days 00:00:00.104275
13,0.8674298418626396,COMPLETE,0.2344184255314694,0 days 00:00:00.346542
14,0.8675535060703712,COMPLETE,2.3774410482619612,0 days 00:00:00.343418
15,0.8617716463814281,PRUNED,6.439676129169901,0 days 00:00:00.105514
16,0.8493944439689353,PRUNED,63.35049340582938,0 days 00:00:00.104521
17,0.8674230174513798,COMPLETE,0.16980324087715393,0 days 00:00:00.340720
18,0.8607633922901341,PRUNED,14.281947875171456,0 days 00:00:00.102620
19,0.8675511414192068,COMPLETE,2.255581569430654,0 days 00:00:00.339532
20,0.8675158151053541,COMPLETE,1.3246669612291377,0 days 00:00:00.344245
21,0.8620144415874907,PRUNED,3.060409149679844,0 days 00:00:00.102840
22,0.8674396391644938,COMPLETE,0.3308179685751843,0 days 00:00:00.338118
23,0.8620163727475246,PRUNED,3.015922098255442,0 days 00:00:00.105774
24,0.8607505327901351,PRUNED,14.365279332604388,0 days 00:00:00.106452
25,0.8674514198319201,COMPLETE,0.45311999316006046,0 days 00:00:00.349415
26,0.8579173251180968,PRUNED,29.626146630129778,0 days 00:00:00.103349
27,0.8675504872940991,COMPLETE,2.2257519351070276,0 days 00:00:00.343851
28,0.8620372877908086,PRUNED,0.09555835832387741,0 days 00:00:00.106169
29,0.8620353983088375,PRUNED,0.044929803127625026,0 days 00:00:00.101634
30,0.8675393006531325,COMPLETE,1.8408389745834282,0 days 00:00:00.335965
31,0.8674582491396136,COMPLETE,0.5276418556749773,0 days 00:00:00.339147
32,0.8675512251271161,COMPLETE,2.259499910378643,0 days 00:00:00.341276
33,0.8675461687964585,COMPLETE,2.055253802695109,0 days 00:00:00.349639
34,0.8616224716091434,PRUNED,7.8890893518297265,0 days 00:00:00.102722
35,0.8674719416758429,COMPLETE,0.6864474300139061,0 days 00:00:00.345600
36,0.8618699698220373,PRUNED,5.327020364462316,0 days 00:00:00.103802
37,0.8395494450832478,PRUNED,95.51743658898707,0 days 00:00:00.103910
38,0.8620343874370726,PRUNED,0.01882543828367392,0 days 00:00:00.102486
39,0.8675338583297364,COMPLETE,1.69925496795923,0 days 00:00:00.341247
